,year,soc_cat,f_num_ppl,m_num_ppl,m_wage_total,f_wage_total,m_avg_wage,f_avg_wage,tot_cat_ppl,wage_diff,pct_wage_diff,pct_female,avg_wage,category_name,short_cat
0,2016,11,140286,208714,22683213641.800003,10794141904.0,108680.84384277051,76943.8283506551,349000,31737.015492115417,0.29202032639744335,0.4019656160458453,95923.6548590258,Management,M
1,2016,13,89711,69588,6120124454.500001,5908216491.8,87947.98606800025,65858.32831871232,159299,22089.65774928793,0.25116729486231204,0.5631610995674801,75507.95012084194,Business & Finance Operations,
2,2016,15,30216,108501,11671192653.6,2541498550.7,107567.6044792214,84111.01901972464,138717,23456.585459496753,0.2180636593429745,0.21782477994766322,102458.17891318294,Computer & Math,C&M
3,2016,17,13643,69582,6577651275.999999,1017709649.8000001,94530.93150527433,74595.73772630654,83225,19935.19377896779,0.21088540503650396,0.16392910784019224,91262.9729744668,Architecture & Engineering,
4,2016,19,15119,17428,1355686368.9,1014086241.1999999,77787.83388225843,67073.63193332891,32547,10714.20194892952,0.1377362167604101,0.4645282207269487,72810.784714413,Life & Social Science,
5,2016,21,33259,19784,1008884447.7,1541751283.3999999,50994.96803983017,46355.91218617516,53043,4639.055853655009,0.09097085520343152,0.6270195878815301,48086.189150312006,Social Serv. & Communications,
6,2016,23,18836,14088,2108727031.2,1549795887.4,149682.497955707,82278.39708005947,32924,67404.10087564752,0.45031384294236776,0.5721054549872433,111120.24415623862,Legal,
7,2016,25,128929,48931,3043321056.5,5915932989.299999,62196.17535917925,45885.20029861396,177860,16310.975060565288,0.26225045135605796,0.7248903632070167,50372.506723265484,Education & Library,
8,2016,27,27006,28294,1987365861.8280003,1445540468.4000006,70239.83395165054,53526.64105754279,55300,16713.19289410775,0.23794465268258244,0.48835443037974685,62077.87215602171,"Arts ,Ent., Sports, & Media",
9,2016,29,125230,46639,6117020252.3,9052950792.3,131156.7626299878,72290.59164976442,171869,58866.17098022337,0.4488229947112476,0.7286363451233207,88264.73095555334,Doctors & Technical,
10,2016,31,60744,11676,462777832.29999995,1961170866.4,39634.963369304554,32285.83673119979,72420,7349.126638104764,0.18542029595506887,0.8387738193869096,33470.70834990334,Healthcare Support,
11,2016,33,13038,50731,3154109852.999999,599264521.9,62173.22451755335,45962.91777113054,63769,16210.306746422815,0.2607281007573632,0.20445671094105286,58858.91851683419,Protective Services,
12,2016,35,100495,79794,2095346764.1999998,2398189533.0,26259.452643055865,23863.769670132842,180289,2395.682972923023,0.09123126081443839,0.5574106018670024,24924.073555236315,Food Prep,
13,2016,37,39138,63025,2116216903.4,970314222.4,33577.42012534709,24792.125872553526,102163,8785.294252793563,0.26164292015281054,0.38309368362322954,30211.829388330414,Building & Grounds Services,
14,2016,39,90342,24673,793201256.4000001,2418978702.4,32148.553333603537,26775.793123906933,115015,5372.760209696604,0.16712292319793695,0.7854801547624223,27928.356812589664,Personal Care & Service,
15,2016,41,150931,156369,10836736276.300001,6430760856.4,69302.33151263998,42607.2897973246,307300,26695.041715315383,0.3851968776901323,0.4911519687601692,56191.00921802799,Sales,S
16,2016,43,289744,113597,5572971150.030002,11366317429.499998,49059.14020643152,39228.82761851841,403341,9830.312587913111,0.2003767808923888,0.7183598989440697,41997.43784918964,Office & Admin,
17,2016,45,16215,39418,1154856533.4,305441873.1,29297.694794256433,18836.994949121185,55633,10460.699845135248,0.35704856367013493,0.29146369960275376,26248.78051695936,"Farming, Fishing, & Forestry",
18,2016,47,5346,124908,6230871594.6,275578940.12,49883.6871505428,51548.62329218107,130254,-1664.9361416382744,-0.03337636483473451,0.04104288543921876,49952.02093386768,Construction Related,
19,2016,49,6032,99996,5364613249.099999,284133048.43999994,53648.27842213688,47104.28521883288,106028,6543.993203303995,0.12197955639530361,0.05689063266307013,53275.98650865808,"Installation, Maint. & Repair",
20,2016,51,38756,127409,6234363711.400001,1344488653.8400002,48931.89422568265,34691.10986273093,166165,14240.784362951716,0.29103276274714956,0.23323804652002528,45610.40149995487,Production,
21,2016,53,37861,166675,7592893705.299999,1329399115.5800002,45555.084477576114,35112.62554026571,204536,10442.458937310403,0.22922707875672066,0.1851067782688622,43622.1145464857,Transportation,
22,2016,55,2923,21828,1004312775.8,120275710.10000002,46010.29759025105,41148.03629832365,24751,4862.261291927403,0.10567767535930152,0.11809623853581673,45436.08282089613,Military,
